rowID,meanFWHM,stdevFWHM,minFWHM,maxFWHM,meanFeFv,stdevFeFv,minFeFv,maxFeFv,X,Y,Z,capLogical,venLogical,group
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_01,3.7403783543788,0.120026623674962,3.54229716883894,3.90735469675448,0.301351262693176,0.088444471476733,0.164055204390204,0.406215793043434,30.0,366.5,10.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_02,4.10006707534461,0.120158418999645,3.92286951557811,4.24550800607157,0.718675586426898,0.103000134576282,0.559359440758614,0.933077412376746,213.0,242.0,20.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_03,6.32626080226821,0.0918142842826231,6.20288143675085,6.44160433937553,0.0830477830278492,0.0268644465355333,0.049833881765891,0.148630950649873,436.0,193.5,25.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_04,6.06630526279354,0.0707349992000908,5.97427433495711,6.1454084154591,0.84953125290493,0.0844059491955862,0.713789269850013,0.964375876362299,278.0,245.0,55.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_05,,,,,,,,,326.0,252.0,40.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_06,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_07,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_08,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_09,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_10,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_11,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_12,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_13,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_14,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_15,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_16,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_17,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_18,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_19,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_20,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_21,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_22,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_23,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_24,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_25,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_26,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_27,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_28,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_29,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_30,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_31,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_32,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_33,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_34,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_35,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_36,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_37,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_38,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_39,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_01,5.88671274516014,0.134211050895333,5.69353483397302,6.10186583207067,0.222587524215169,0.0571618482016353,0.110755558411692,0.307332908661635,404.0,267.5,15.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_02,4.67920677028315,0.0794571997953784,4.55865475434852,4.79529575324016,0.606623365576337,0.123456253675696,0.393490206603983,0.834158643533589,264.0,254.5,20.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_03,6.69162072354454,0.137906038490319,6.48647570559759,6.84030563628335,0.707034257448228,0.161433473480042,0.481577539316223,1.04340601761935,202.5,328.0,60.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_04,6.23309059163892,0.317940860310125,5.85950357169348,6.8440743560731,0.824280206492692,0.165254833525105,0.612833911778899,1.19162730000301,244.5,307.0,75.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_05,5.1060436120812,0.443754481844566,4.4763682714034,5.79397956055947,2.44196769272359,0.2471760374607,2.04304967633711,2.76202032374848,191.0,187.5,120.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_06,,,,,,,,,317.5,375.0,155.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_07,4.44343484911921,0.0724004934457637,4.31837865738978,4.58457178735109,0.258518695121515,0.0859337324643824,0.168274187175172,0.467108571942562,422.0,203.5,20.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_08,3.91902300365277,0.117077457674547,3.77009571249315,4.14059976335592,1.14289421039168,0.693453315669384,0.425819457143254,2.28275601002298,248.0,154.0,25.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_09,5.4402595785054,0.714641933938432,4.60732106142035,6.89216038933499,1.17353134875645,0.461483562142765,0.783121724923922,2.14295574597628,32.5,407.0,30.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_10,5.65754991615017,0.168920588948671,5.39789536427451,5.92161785549659,0.754128624118973,0.0790928064633628,0.597736603326716,0.868942503682937,38.5,435.5,35.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_11,4.3259837146097,0.0536476368530669,4.27630823822308,4.45876143687861,0.477301124884323,0.0987655943480968,0.374543649098717,0.671551951942205,61.0,82.5,35.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_12,4.13234701658246,0.0482426229510964,4.07336118771174,4.21822716165398,1.00720891156961,0.14374217703465,0.737013653484124,1.23468120260491,334.5,204.5,135.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_13,4.07614689328807,0.193164479398908,3.69520417754712,4.32412591465813,0.234733765386099,0.105895819501416,0.101542210104224,0.403940249526799,239.0,166.0,30.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_14,,,,,,,,,166.0,336.5,35.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_15,,,,,,,,,,,,,,A
