stdevFWHM,stdevFeFv,group,vessel_type,filename
0.120026623674962,0.088444471476733,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.134211050895333,0.0571618482016353,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.20229225508332,0.0838835004097754,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.0853322856133375,0.0623170353952858,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.196552995158901,0.489580094348004,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
0.120158418999645,0.103000134576282,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.0794571997953784,0.123456253675696,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.104808814393392,0.0977106368390018,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.0326490818501524,0.133827972703295,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.124700003390129,0.248933179139152,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
0.0918142842826231,0.0268644465355333,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.137906038490319,0.161433473480042,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.093544079533281,0.122563554919938,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.100301325328406,0.106673040302721,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.243066634815146,0.787841211046443,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
0.0707349992000908,0.0844059491955862,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.317940860310125,0.165254833525105,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.0156835988295725,0.165128219507658,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.0727352034406956,0.258438223934587,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.398074705397928,0.49920907723431,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.443754481844566,0.2471760374607,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.340340246915907,0.175169152450963,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.0787633407150769,0.0783190523919427,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.100939568967136,0.364578560999542,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.0945944784731293,0.215212553495876,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.0588554545081357,0.0960114389153392,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.0724004934457637,0.0859337324643824,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.10375166970638,0.0855527678982649,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.134503311240559,0.252372385656342,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.117077457674547,0.693453315669384,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.237809765813927,0.0774737434037191,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.0681045870791707,0.0607961786601027,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.351872055162477,0.132324866950145,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
