rowID,meanFWHM,stdevFWHM,minFWHM,maxFWHM,meanPvLeak,stdevPvLeak,minPvLeak,maxPvLeak,X,Y,Z,capLogical,venLogical,artLogical,midLogical,preLogical,pstLogical,midCapLogical,preCapLogical,pstCapLogical,midVenLogical,preVenLogical,pstVenLogical,midArtLogical,preArtLogical,pstArtLogical,group
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_01,3.7403783543788,0.120026623674962,3.54229716883894,3.90735469675448,0.724227294802788,0.0089859072902868,0.706559875822216,0.734499757454609,30.0,366.5,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_02,4.10006707534461,0.120158418999645,3.92286951557811,4.24550800607157,0.739692364138803,0.0018601815646751,0.735731887470126,0.741958612456649,213.0,242.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_03,6.32626080226821,0.0918142842826231,6.20288143675085,6.44160433937553,0.678210528891099,0.0206519187107108,0.639518146142712,0.710663235768888,436.0,193.5,25.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_04,6.06630526279354,0.0707349992000908,5.97427433495711,6.1454084154591,0.742716660295904,0.001181992055847,0.740696598577007,0.74453800607868,278.0,245.0,55.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_01,5.88671274516014,0.134211050895333,5.69353483397302,6.10186583207067,0.710036399660186,0.0086170873272937,0.697944132353163,0.7273215118468,404.0,267.5,15.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_02,4.67920677028315,0.0794571997953784,4.55865475434852,4.79529575324016,0.730371800043074,0.0066634342847428,0.719753121516837,0.738997554975863,264.0,254.5,20.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_03,6.69162072354454,0.137906038490319,6.48647570559759,6.84030563628335,0.737305238644409,0.0049040845167209,0.726498066331033,0.741948888266001,202.5,328.0,60.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_04,6.23309059163892,0.317940860310125,5.85950357169348,6.8440743560731,0.73725571133466,0.0052007483886259,0.728739549194436,0.743065427054877,244.5,307.0,75.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_05,5.1060436120812,0.443754481844566,4.4763682714034,5.79397956055947,0.744269035691678,0.0018890205514891,0.740336731052396,0.74663167939442,191.0,187.5,120.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_07,4.44343484911921,0.0724004934457637,4.31837865738978,4.58457178735109,0.735615753745939,0.0041134635831176,0.728559856319732,0.743027312056549,422.0,203.5,20.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
