Z,m10_roi1_00001,m11_roi1_00001,m12_roi1_00001,m13_roi1_00002,m15_roi1_00001,m16_roi1_00001,m5_roi2_00003,m6_roi1_00001,m7_roi1_00001,m9_roi1_00002
0,18.373832707816966,30.629562386777927,16.427432875404165,21.812269437947684,20.344822039305136,14.114760676062357,25.935080789886648,19.0908930735228,29.10855137355651,20.19827749692479
1,17.143880697485248,24.632951672899953,14.799074829954074,22.95512609439246,27.51397758497212,21.482377054500407,24.908292724907717,23.517107677510268,19.900568264493888,14.298754576982873
2,20.739966091202735,26.07602550978868,21.213494082676526,24.822571667467695,25.441108993159162,16.549648855895043,17.760518894192135,23.93993800469957,29.97485547376092,18.515557583379348
3,25.817746401847465,30.315812747428737,21.631191382728343,20.481421472035738,19.584364149577297,16.496355040213764,15.538653172508901,21.643826307173732,21.78751189349642,20.24553998239245
4,26.88956793365129,31.220610533014657,19.731695751425253,21.29493579126245,21.76416739386001,32.62375722341082,35.27229322820395,20.763069478967584,nan,19.156353958974748
5,19.99884535475288,28.152248694140724,15.125011345488963,24.156929963899064,18.63531005873314,19.316019210286857,21.407478045725384,23.07162067486393,19.970499855578353,30.948284193057845
6,24.540862841629988,33.204746552587444,15.937301713613248,19.5720049931428,19.784946571491915,29.75249511721558,20.492462773619614,25.329067273508322,26.655300450800432,20.626095435677367
7,17.14953320265385,28.90745475963963,19.54311871095328,15.974618037260337,32.88835570897977,23.0751826833451,24.24000057329146,25.926207561256014,33.41184524279041,19.77023519061624
8,14.18795958166547,30.23191664215952,17.52590252275509,18.558919949246835,28.247945288275968,17.773384056981403,19.78640577122995,33.03507718141683,26.581851206979923,17.298424866404773
9,30.361520700809184,28.087804085057012,17.05371063013914,30.28312433727037,35.63980683567313,17.100334689269523,19.45186566120567,20.67426686034072,34.90452660909754,25.24937566043563
10,28.954963942237434,28.071882946899354,17.031119741994253,15.406584143152125,34.00789712488358,18.918700850936162,26.03454213493298,23.363485478830874,27.721085573470255,25.851636672846986
11,24.92729010339763,24.33899346356374,21.198494623569726,22.569366709645777,20.958431620624008,15.175326118206735,21.0950645930336,24.992797800352484,30.00014377660826,16.866771802748563
12,27.523812091200448,25.373956656897654,14.904632390336314,25.61553083438589,20.740285833770255,17.645318920918594,28.381074280662585,35.86727073457483,45.632249931243486,25.17696685066065
13,16.5969922627732,30.895741389555354,35.08157757692728,17.932770741874208,25.16131031157926,21.11792872657108,23.06422194708037,24.486499026195368,33.52045958554101,24.664437265217217
14,29.46795864667225,39.82435188429007,14.45175965871233,29.442015435008148,23.35366543842438,23.162609765968476,25.854805219944872,32.4703530568912,,24.94981951983775
15,20.988353422896104,37.59047066756234,20.37843140182665,17.93613782364785,27.685099064055613,21.671034248375726,24.62248486927276,28.261174697852645,,25.940276196435853
16,29.18956724596511,40.980622887901575,16.696816430016376,16.801384939044503,26.456185414311058,20.751647792164952,21.70435792511666,24.600886811234226,,18.95055617603949
17,23.799588428044448,,18.55918392905652,32.34709469350673,31.286274461230704,14.72626025143644,30.7940869421667,24.643156156125077,,24.32796135149143
18,30.248575938561736,,18.351028382427053,23.32639634067993,34.68037448544369,17.95897491996079,39.01468575892412,29.110265957767485,,25.81599949157487
19,24.74744729072011,,19.826289056220155,32.43627391176807,23.086331114735437,24.09728907996372,,30.821751484144528,,22.208772058024163
20,25.9337845340676,,22.14248028489401,24.455051383764747,31.431498141700587,22.15299444299432,,25.891064912824948,,29.52380707554905
21,33.79676782146819,,14.467239411302518,31.40384651055324,38.68246608966017,16.983385866986428,,26.033861665614246,,31.03190017121372
22,39.13830221549354,,22.211959750559885,31.2227770819354,33.07126845771619,24.720177141238793,,21.923182074985082,,26.510141354283668
23,41.792238455622325,,15.138358606003615,26.3540170637527,29.731520864008417,18.231518791036073,,52.6511434691375,,
24,35.86712922200998,,16.567723952563245,26.15313587938757,,27.25225883007233,,,,
25,25.112394412370097,,20.49984035211863,26.55607940194268,,28.716629693813132,,,,
26,24.58558725487469,,16.004406398548888,30.800980361668202,,20.555439432181647,,,,
27,31.298336912808402,,18.193445797614448,30.250256783656106,,24.86694540363549,,,,
28,28.15987728976583,,25.75556473144375,,,19.462443515272703,,,,
29,39.19182774478885,,29.98749428088727,,,23.15276257825154,,,,
30,36.912242613338435,,27.38071566713206,,,34.69640077787345,,,,
31,41.81577635348104,,28.4482778176094,,,32.88537001068707,,,,
32,34.46644471137167,,24.75968668823606,,,25.9544426863995,,,,
33,36.9440531717303,,27.82315167495908,,,24.935477764361224,,,,
34,,,25.04414531137289,,,19.42168325515662,,,,
35,,,28.722793473668798,,,24.995818642479676,,,,
36,,,31.69637030419666,,,24.699940650062924,,,,
37,,,37.082292097947,,,22.722536726359074,,,,
38,,,38.11412710349272,,,,,,,
39,,,42.87870991823744,,,,,,,
