Z,m10_roi1_00001,m11_roi1_00001,m12_roi1_00001,m13_roi1_00002,m15_roi1_00001,m16_roi1_00001,m5_roi2_00003,m6_roi1_00001,m7_roi1_00001,m9_roi1_00002
0,"[array([379., 182., 391., 232.])]","[array([351., 228., 384., 164.])]","[array([ 58., 275.,  83., 208.])]","[array([146., 230., 120., 164.])]","[array([ 64.,  97., 118., 164.])]","[array([308.,  37., 359.,  32.])]","[array([364., 385., 426., 404.])]","[array([185., 171., 238., 158.])]","[array([158., 120., 192., 170.])]","[array([336.,  33., 396.,  32.])]"
1,"[array([190., 137., 270., 120.])]","[array([450., 437., 407., 476.])]","[array([226., 290., 185., 344.])]","[array([188., 226., 212., 160.])]","[array([162.,  82., 144., 152.])]","[array([501., 110., 480.,  62.])]","[array([226., 502., 196., 453.])]","[array([363., 260., 430., 294.])]","[array([292., 428., 364., 410.])]","[array([365., 117., 312., 103.])]"
2,"[array([108.,  92., 164.,  91.])]","[array([288.,  78., 239.,  24.])]","[array([286., 310., 340., 352.])]","[array([276., 265., 308., 184.])]","[array([232., 148., 181., 194.])]","[array([145., 283.,  92., 264.])]","[array([314., 424., 295., 484.])]","[array([288., 179., 338., 134.])]","[array([410., 262., 448., 206.])]","[array([112.,  66., 153.,  11.])]"
3,"[array([239., 354., 288., 396.])]","[array([498., 188., 457., 152.])]","[array([253.,  22., 186.,  16.])]","[array([ 35., 237.,  58., 173.])]","[array([198., 333., 142., 357.])]","[array([199., 294., 224., 249.])]","[array([ 47., 334.,  13., 406.])]","[array([459.,   3., 455.,  56.])]","[array([306., 495., 387., 471.])]","[array([151.,  86., 184.,  31.])]"
4,"[array([342., 449., 413., 486.])]","[array([312.,  73., 368.,  37.])]","[array([133., 488., 214., 488.])]","[array([201., 247., 266., 250.])]","[array([318., 175., 371., 208.])]","[array([322.,  87., 293., 135.])]","[array([269., 468., 218., 444.])]","[array([327., 371., 402., 379.])]","[array([454., 168., 499., 129.])]","[array([328., 252., 281., 217.])]"
5,"[array([392., 311., 344., 294.])]","[array([379., 280., 452., 254.])]","[array([226., 364., 266., 320.])]","[array([180., 269., 229., 325.])]","[array([398., 317., 340., 360.])]","[array([ 98., 498., 114., 448.])]","[array([257., 393., 215., 428.])]","[array([235., 266., 302., 259.])]","[array([412., 373., 476., 343.])]","[array([352., 490., 353., 432.])]"
6,"[array([ 82., 161., 124., 221.])]","[array([  8., 497.,  75., 493.])]","[array([ 52., 132.,  75., 185.])]","[array([440., 300., 499., 273.])]","[array([210.,  18., 294.,  15.])]","[array([384., 415., 468., 422.])]","[array([198., 206., 223., 275.])]","[array([ 52., 238., 113., 227.])]","[array([ 70.,  19., 124.,  67.])]","[array([266.,  17., 329.,  36.])]"
7,"[array([364., 110., 314., 130.])]","[array([398., 326., 460., 301.])]","[array([ 93., 105., 151., 134.])]","[array([440., 300., 499., 273.])]","[array([258., 364., 218., 429.])]","[array([455., 510., 499., 472.])]","[array([156.,  82., 128., 158.])]","[array([156.,  38., 152.,  96.])]","[array([180., 398., 240., 356.])]","[array([297., 161., 369., 162.])]"
8,"[array([384.,  58., 330.,  27.])]","[array([293., 480., 370., 445.])]","[array([418., 153., 395.,  92.])]","[array([428.,  88., 473., 124.])]","[array([188., 270., 262., 269.])]","[array([455., 343., 404., 359.])]","[array([363., 250., 303., 202.])]","[array([331., 269., 332., 324.])]","[array([306., 439., 267., 362.])]","[array([212.,  48., 276.,  19.])]"
9,"[array([ 40., 163.,  40., 243.])]","[array([363.,  36., 421.,  69.])]","[array([223., 109., 272.,  63.])]","[array([130., 221., 189., 230.])]","[array([312., 408., 365., 464.])]","[array([420., 498., 408., 426.])]","[array([432., 163., 408., 215.])]","[array([186., 268., 241., 269.])]","[array([154., 504., 206., 466.])]","[array([163., 442., 184., 384.])]"
10,"[array([130., 260.,  75., 282.])]","[array([208., 206., 277., 159.])]","[array([156., 236., 124., 190.])]","[array([266., 274., 318., 309.])]","[array([292., 462., 230., 463.])]","[array([226., 378., 271., 415.])]","[array([176., 302., 120., 276.])]","[array([161., 296., 226., 360.])]","[array([362., 424., 411., 394.])]","[array([371., 397., 421., 350.])]"
11,"[array([ 70., 405.,  56., 347.])]","[array([238., 290., 288., 259.])]","[array([438., 490., 496., 462.])]","[array([124.,   8.,  81.,  54.])]","[array([288., 248., 255., 175.])]","[array([392.,  52., 324.,  28.])]","[array([254., 123., 204., 186.])]","[array([183., 137., 241., 136.])]","[array([252., 466., 314., 471.])]","[array([215., 142., 248.,  85.])]"
12,"[array([216., 461., 295., 431.])]","[array([232., 494., 196., 426.])]","[array([456., 402., 398., 420.])]","[array([414., 180., 451., 139.])]","[array([340., 163., 289., 137.])]","[array([322., 268., 302., 321.])]","[array([378.,  92., 420.,  42.])]","[array([257., 505., 206., 481.])]","[array([237., 334., 300., 273.])]","[array([ 36., 262.,  94., 252.])]"
13,"[array([468., 254., 411., 226.])]","[array([236., 176., 270., 113.])]","[array([433., 475., 392., 428.])]","[array([374., 454., 425., 395.])]","[array([203., 356., 160., 408.])]","[array([310., 336., 237., 310.])]","[array([344., 501., 426., 501.])]","[array([427., 313., 476., 285.])]","[array([388., 456., 458., 416.])]","[array([492., 427., 457., 383.])]"
14,"[array([217., 240., 184., 286.])]","[array([228., 232., 148., 236.])]","[array([263., 159., 299., 104.])]","[array([286., 428., 322., 487.])]","[array([156., 308., 208., 356.])]","[array([248., 371., 215., 332.])]","[array([355.,  24., 411.,  24.])]","[array([189., 464., 234., 417.])]",,"[array([106., 494.,  18., 494.])]"
15,"[array([206., 496., 284., 499.])]","[array([210., 276., 165., 323.])]","[array([321.,  98., 334., 165.])]","[array([390., 443., 324., 420.])]","[array([122., 335., 155., 397.])]","[array([436., 313., 416., 254.])]","[array([248., 218., 301., 172.])]","[array([258.,  90., 305., 123.])]",,"[array([140., 465.,  80., 413.])]"
16,"[array([310., 266., 288., 198.])]","[array([250., 364., 204., 406.])]","[array([347., 260., 378., 195.])]","[array([219., 291., 194., 354.])]","[array([176., 279., 254., 334.])]","[array([327., 214., 274., 182.])]","[array([260., 218., 294., 272.])]","[array([421., 191., 377., 154.])]",,"[array([ 22., 470.,  58., 413.])]"
17,"[array([175., 447., 202., 384.])]",,"[array([228., 385., 162., 346.])]","[array([360., 189., 416., 208.])]","[array([398., 239., 438., 201.])]","[array([488., 198., 412., 199.])]","[array([401., 361., 453., 340.])]","[array([138., 112., 212., 142.])]",,"[array([174., 354., 116., 338.])]"
18,"[array([274., 503., 300., 443.])]",,"[array([333., 106., 396.,  94.])]","[array([ 26., 396.,  54., 340.])]","[array([326.,  65., 376.,  40.])]","[array([506., 300., 430., 332.])]","[array([ 65.,  68., 108., 149.])]","[array([212., 154., 266., 184.])]",,"[array([205., 138., 142., 174.])]"
19,"[array([105., 252., 132., 186.])]",,"[array([236., 264., 280., 296.])]","[array([251., 152., 261.,  84.])]","[array([270., 203., 317., 241.])]","[array([292., 423., 340., 374.])]",,"[array([290., 221., 360., 269.])]",,"[array([ 36., 370.,  11., 306.])]"
20,"[array([120., 126.,  58., 123.])]",,"[array([438., 231., 402., 274.])]","[array([197., 378., 138., 392.])]","[array([271., 126., 208., 100.])]","[array([ 98., 126., 104.,  52.])]",,"[array([110., 156., 148., 211.])]",,"[array([506., 321., 408., 273.])]"
21,"[array([165., 350., 143., 404.])]",,"[array([418., 318., 476., 320.])]","[array([123., 108., 156.,  61.])]","[array([ 96., 404., 101., 467.])]","[array([310., 229., 379., 222.])]",,"[array([165., 202., 194., 159.])]",,"[array([320., 274., 300., 358.])]"
22,"[array([408., 414., 484., 410.])]",,"[array([240., 250., 202., 292.])]","[array([144., 358., 108., 406.])]","[array([222., 496., 158., 461.])]","[array([ 96., 417.,  44., 382.])]",,"[array([509., 201., 448., 206.])]",,"[array([389.,  65., 467.,  78.])]"
23,"[array([414., 347., 482., 352.])]",,"[array([431., 214., 487., 234.])]","[array([112., 117.,  52.,  66.])]","[array([262., 116., 309.,  58.])]","[array([196., 248., 270., 236.])]",,"[array([262., 112., 314., 138.])]",,
24,"[array([387., 340., 392., 394.])]",,"[array([125.,  98.,  60.,  50.])]","[array([378., 393., 344., 323.])]",,"[array([  7., 290.,  81., 272.])]",,,,
25,"[array([337.,  85., 268.,  72.])]",,"[array([320.,  12., 376.,  33.])]","[array([104., 168.,  50., 182.])]",,"[array([ 12., 493.,  92., 462.])]",,,,
26,"[array([350., 132., 384., 178.])]",,"[array([338.,  92., 280.,  67.])]","[array([256., 399., 299., 349.])]",,"[array([372., 296., 403., 242.])]",,,,
27,"[array([344., 277., 407., 260.])]",,"[array([240., 208., 302., 226.])]","[array([ 66., 285., 126., 295.])]",,"[array([229.,  85., 186.,  59.])]",,,,
28,"[array([320., 188., 373., 191.])]",,"[array([ 66., 104., 102., 163.])]",,,"[array([242., 296., 270., 245.])]",,,,
29,"[array([336., 260., 382., 213.])]",,"[array([344., 110., 359., 186.])]",,,"[array([275.,  86., 226.,  58.])]",,,,
30,"[array([296., 195., 328., 257.])]",,"[array([ 75., 160., 151., 152.])]",,,"[array([134., 362., 194., 344.])]",,,,
31,"[array([ 92.,  54., 168.,  38.])]",,"[array([449.,  80., 374.,  74.])]",,,"[array([392., 454., 304., 446.])]",,,,
32,"[array([244., 217., 286., 290.])]",,"[array([169.,  83., 224., 122.])]",,,"[array([350., 221., 376., 284.])]",,,,
33,"[array([410., 189., 456., 160.])]",,"[array([132.,  23.,  66.,  41.])]",,,"[array([306., 170., 366., 168.])]",,,,
34,,,"[array([279.,  58., 234.,  10.])]",,,"[array([236., 162., 299., 198.])]",,,,
35,,,"[array([441., 178., 382., 213.])]",,,"[array([454., 312., 402., 342.])]",,,,
36,,,"[array([  6., 254.,  43., 312.])]",,,"[array([418., 236., 368., 278.])]",,,,
37,,,"[array([337., 208., 332., 286.])]",,,"[array([192., 146., 127., 159.])]",,,,
38,,,"[array([492., 159., 440., 182.])]",,,,,,,
39,,,"[array([398., 106., 326., 130.])]",,,,,,,
