Z,m10_roi1_00001,m11_roi1_00001,m12_roi1_00001,m13_roi1_00002,m15_roi1_00001,m16_roi1_00001,m5_roi2_00003,m6_roi1_00001,m7_roi1_00001,m9_roi1_00002
0,11.0,1.0,31.0,21.0,21.0,1.0,1.0,1.0,1.0,11.0
1,51.0,31.0,31.0,21.0,31.0,1.0,1.0,1.0,1.0,21.0
2,61.0,31.0,31.0,21.0,31.0,1.0,11.0,1.0,21.0,21.0
3,61.0,41.0,41.0,21.0,31.0,21.0,11.0,21.0,21.0,21.0
4,61.0,61.0,41.0,41.0,41.0,21.0,11.0,31.0,21.0,21.0
5,61.0,61.0,41.0,51.0,51.0,31.0,21.0,41.0,31.0,21.0
6,61.0,71.0,41.0,61.0,51.0,31.0,31.0,51.0,41.0,31.0
7,71.0,71.0,51.0,71.0,51.0,41.0,31.0,61.0,41.0,31.0
8,71.0,71.0,51.0,81.0,61.0,41.0,31.0,61.0,41.0,41.0
9,71.0,91.0,51.0,91.0,71.0,61.0,31.0,111.0,71.0,41.0
10,71.0,111.0,61.0,91.0,71.0,71.0,51.0,111.0,131.0,51.0
11,81.0,131.0,61.0,101.0,71.0,71.0,61.0,121.0,151.0,61.0
12,81.0,131.0,61.0,101.0,71.0,71.0,61.0,141.0,221.0,61.0
13,91.0,241.0,61.0,101.0,111.0,71.0,71.0,141.0,241.0,61.0
14,91.0,321.0,71.0,111.0,111.0,81.0,81.0,141.0,,91.0
15,91.0,321.0,71.0,111.0,111.0,91.0,81.0,161.0,,91.0
16,91.0,351.0,71.0,111.0,121.0,101.0,101.0,191.0,,101.0
17,101.0,,71.0,121.0,131.0,121.0,101.0,201.0,,111.0
18,111.0,,71.0,181.0,141.0,121.0,111.0,201.0,,121.0
19,121.0,,81.0,191.0,151.0,141.0,,201.0,,131.0
20,131.0,,81.0,191.0,201.0,161.0,,221.0,,191.0
21,161.0,,91.0,211.0,211.0,181.0,,231.0,,211.0
22,191.0,,91.0,241.0,231.0,211.0,,231.0,,221.0
23,201.0,,111.0,261.0,241.0,211.0,,261.0,,
24,201.0,,111.0,261.0,,221.0,,,,
25,271.0,,131.0,291.0,,221.0,,,,
26,351.0,,131.0,301.0,,221.0,,,,
27,351.0,,221.0,301.0,,231.0,,,,
28,361.0,,281.0,,,251.0,,,,
29,371.0,,331.0,,,261.0,,,,
30,371.0,,331.0,,,281.0,,,,
31,381.0,,341.0,,,291.0,,,,
32,381.0,,371.0,,,301.0,,,,
33,461.0,,371.0,,,311.0,,,,
34,,,371.0,,,311.0,,,,
35,,,411.0,,,321.0,,,,
36,,,421.0,,,321.0,,,,
37,,,481.0,,,361.0,,,,
38,,,491.0,,,,,,,
39,,,521.0,,,,,,,
