Z,m10_roi1_00001,m11_roi1_00001,m12_roi1_00001,m13_roi1_00002,m15_roi1_00001,m16_roi1_00001,m5_roi2_00003,m6_roi1_00001,m7_roi1_00001,m9_roi1_00002
0,3.8070017014665707,3.0900150193276716,3.386849387154175,5.393346253158251,4.13046638803597,3.9526151320139022,4.8936341194996755,4.214660904972775,5.30061401419853,4.382430779132859
1,4.93047940620079,3.646491516921592,3.02882092583605,6.140495510950039,4.5591009041372335,5.597571789355693,4.235908456869868,4.8538116686827335,3.8338609693661176,4.233142426950702
2,3.1663942115182695,4.615957181036267,4.68678648559862,5.342867660747382,5.124832703964691,5.201144876462104,5.044941918144277,4.086694619905039,3.6818628359618493,3.2521516078144415
3,4.12902316101793,4.357590340009698,4.530294413942254,5.768544087642931,3.7674530580881807,4.661122889546517,3.719676797315382,3.7797198306986823,4.507856472754903,3.050339179745002
4,4.647531617684867,5.086043850734163,4.034792304222205,5.050117772490109,4.463180398498583,3.6828736437584992,5.254812001729906,3.7770137982348877,3.8335679344436087,5.689478482288113
5,3.7695506246563384,4.115479620667687,3.0865637358640923,5.32426602227602,4.273584794800746,3.6364286278272724,4.626590472532009,4.520542879050305,2.768060926330731,2.89407986377262
6,3.8104365173170485,4.905955469490007,3.856916110105234,2.989833272083655,3.216770291187758,3.9932645065414407,4.065851310832402,5.3658672660318905,4.710339835659953,3.6762170169785042
7,3.938885006825376,3.7802737027476723,5.61486038124673,3.185164684186696,4.380041170453208,4.4546720225621375,3.685683801393864,4.201714520466631,3.6534289004400593,4.278712741827261
8,4.289836752279461,6.092937646497362,3.9247461401660195,4.199646018301361,5.5515048648965575,2.6696061010598795,5.425071803757606,3.2140896787714617,4.3523498961660065,3.280274063444916
9,5.126922184618773,4.3019408647916455,3.5107118966078774,4.574883058608162,4.286358236848061,5.2683636271955425,5.11530442658139,3.6618178592295436,3.611458419969299,3.9586576338169785
10,4.555155265695869,4.131874573509249,3.8081215574812695,4.71449517960481,4.55333308019698,4.730675800953358,3.445326218272361,6.93031044085576,3.530266628239879,3.345300406035359
11,3.3029031034182106,4.489727708184629,3.939045580019735,4.290416742179938,5.01810412551558,3.4257476808293483,4.902420055903908,4.436063675247716,3.240361627445573,4.5350383625003685
12,5.9478246096996426,5.7283209119263745,3.996470730541141,3.9719902434531975,3.73811952286962,4.560728333792541,5.258661543903107,3.282335126418063,7.51560361355124,3.9373189510612496
13,5.629471087893295,5.709896613434478,3.7117092227130457,3.04466141986343,4.382500560592479,4.715448512759127,4.979884547690485,3.4444236608843775,4.988907157319614,3.750902915246501
14,4.076912854356594,3.3661312160220653,3.0557647102020935,3.7642411179345823,7.191762317407684,3.4645811446916626,5.118141605046536,4.384797978572314,,4.289949861638276
15,5.072194516841424,3.8338697719815427,2.291908091545757,4.394556595856811,6.433508242959533,4.691956286278222,3.5074140336232076,4.5654170274121615,,3.986851221628605
16,3.4251822117849646,3.5376753502940748,3.578431514101524,4.215107859979121,5.760341990467196,4.22996332322894,5.951144239983654,3.3007221818819668,,3.9827767967528898
17,4.624443133822661,,2.7948540786316682,5.847959914321307,3.9233042334935115,6.179151379708494,3.9664156267156834,3.3423299110413813,,3.916183622824515
18,4.459810005633798,,4.832069312296164,4.396013034710828,3.6281506154453127,6.548906134209719,7.68051978128787,3.949064520589045,,6.647885144234239
19,7.157801442306931,,3.9066859191065397,6.12884941790024,4.614484545908004,3.7590926379447014,,6.325469169485221,,4.2293578241876855
20,4.813331759462905,,3.600408576101997,2.935258867418382,nan,5.602843352891839,,3.819032432326563,,9.005437234015625
21,3.937857936570502,,4.118222758984692,3.941032180395333,3.5042312874082064,4.302581331167601,,4.550961472154264,,7.790041667179656
22,5.602806476136108,,3.46687371810402,4.015459667536435,5.7561072976007965,5.235238362335912,,3.494022718417702,,6.9684161123432515
23,4.93355195271308,,4.502894383420778,6.208547063991608,4.796827687125543,4.835169289124455,,3.4651761414429245,,
24,5.282446679976722,,6.9976102507051685,6.3930310442355,,6.127221377373717,,,,
25,2.9695195616627688,,2.9656832264390185,4.390897641950064,,6.608419177302524,,,,
26,4.198668510094076,,3.7379811138826993,5.189157698900116,,4.417876897529266,,,,
27,3.675331400928686,,3.7818838465734657,5.14776182422612,,4.6101907593664855,,,,
28,4.582757517349558,,2.9005867742575573,,,4.529497672130377,,,,
29,3.85863299347794,,5.422732379908302,,,4.691486282899457,,,,
30,5.243573162361834,,5.321762998884631,,,4.463363015123253,,,,
31,6.041131047856985,,4.29581974101436,,,5.183310796446255,,,,
32,6.152985325915593,,4.781096281547511,,,4.558217276281339,,,,
33,4.420158697073088,,3.4783340101205296,,,4.169067835630498,,,,
34,,,5.15398749399375,,,4.454417983651708,,,,
35,,,4.1894802916924005,,,3.9995000770097477,,,,
36,,,6.020143360141722,,,4.311400270761196,,,,
37,,,5.29423685621372,,,4.3546181071040575,,,,
38,,,3.736062877042453,,,,,,,
39,,,4.396508637234196,,,,,,,
